param#0 	 param#1 	 param#2 	 dist 	  wgt 
1.432815 	0.351615 	13.658994 	380258.431687 	0.010273 	
1.619776 	1.109665 	13.757470 	450321.374244 	0.008882 	
0.345629 	0.196715 	10.881718 	317977.924680 	0.013060 	
0.666958 	0.793403 	10.140135 	439081.902667 	0.011079 	
1.099091 	1.080060 	20.147164 	759906.021644 	0.013744 	
1.394205 	0.126029 	15.265603 	374450.796825 	0.012989 	
1.441203 	0.692122 	13.161594 	397165.448978 	0.008944 	
0.163368 	1.393499 	16.455117 	204930.377596 	0.005932 	
0.483197 	1.803285 	12.986056 	191229.823379 	0.012674 	
1.764382 	0.382887 	18.352558 	742352.658517 	0.012353 	
0.522534 	0.189019 	18.806609 	459196.664213 	0.019605 	
0.950037 	0.259522 	8.614547 	705843.067316 	0.014544 	
1.266572 	1.645005 	11.090359 	479956.718164 	0.013398 	
0.967392 	1.778427 	16.767069 	323019.526860 	0.014073 	
0.883274 	0.618030 	18.151297 	433882.666815 	0.013056 	
1.405024 	1.336773 	17.498795 	507717.444730 	0.010891 	
1.735001 	0.573685 	10.414818 	714371.046208 	0.009501 	
0.729017 	0.221373 	10.257312 	430033.529585 	0.014388 	
1.667464 	1.245803 	15.385846 	479789.673224 	0.009458 	
0.457603 	0.933346 	10.817926 	338655.657138 	0.009927 	
0.172647 	0.680047 	14.395065 	141221.380694 	0.006403 	
0.746122 	0.657767 	12.795324 	229622.573556 	0.010555 	
2.005736 	1.111659 	11.821175 	712662.818580 	0.009483 	
0.452082 	0.521863 	16.907918 	254028.035485 	0.012344 	
0.972797 	1.225387 	12.179198 	311058.261310 	0.010182 	
1.347035 	0.529349 	10.390814 	569590.777469 	0.010298 	
1.126592 	1.255775 	10.984043 	446511.286423 	0.010695 	
1.524957 	1.463732 	15.705999 	434569.007233 	0.010658 	
1.441266 	0.921285 	16.785578 	464081.260137 	0.009617 	
0.158520 	0.948791 	20.225632 	643485.026453 	0.007968 	
1.759016 	0.529349 	13.843898 	505944.003171 	0.008853 	
1.349345 	2.401778 	18.750970 	620240.693996 	0.000000 	
1.218685 	0.710852 	19.745143 	731170.645312 	0.013730 	
1.451771 	1.734931 	10.478897 	606409.373311 	0.015245 	
0.787984 	0.951437 	17.764046 	372761.339546 	0.011474 	
0.199787 	1.795720 	10.722582 	340867.489984 	0.008924 	
0.386092 	2.770439 	12.184690 	232933.741891 	0.000000 	
0.296888 	2.302206 	10.358034 	391248.964302 	0.000000 	
1.052378 	0.936829 	12.944380 	288791.236647 	0.009484 	
1.958518 	1.036453 	15.759116 	624279.587732 	0.009070 	
0.087802 	1.911766 	16.594343 	212385.428135 	0.004773 	
0.791455 	0.711117 	16.701100 	285022.084529 	0.011417 	
